City,Place Name,Place Types,Place Type,Relevant Tags
Mumbai,Colaba Causeway,Shopping,Shopping,"Street shopping, Cafes, Nightlife"
Mumbai,Olive Bar & Kitchen,Restaurant,Restaurant,"Fine Dining, Cocktails, Live Music"
Mumbai,Jiva Spa,Self Care,Self Care,"Relaxation, Ayurveda, Wellness"
Mumbai,Chhatrapati Shivaji Terminus,Sight Seeing,Sight Seeing,"Heritage, Architecture, Train station"
Mumbai,The Bombay Canteen,Restaurant,Restaurant,"Fusion cuisine, Cocktails, Brunch"
Mumbai,Bombay Art Society,Sight Seeing,Sight Seeing,"Exhibitions, Workshops, Art events"
Mumbai,High Street Phoenix,Shopping,Shopping,"Brands, Entertainment, Food"
Mumbai,Trilogy,Clubs & Bars,Bars & Clubs,"Music, Dance, Cocktails"
Mumbai,Sanjay Gandhi National Park,Sight Seeing,Sight Seeing,"Trekking, Nature, Wildlife"
Mumbai,The Yoga Institute,Self Care,Shopping,"Yoga classes, Meditation, Wellness"
Mumbai,Nariman Point,Sight Seeing,Sight Seeing,"Sea views, Skyline, Leisure"
Mumbai,Leopold Cafe,Cafe,Shopping,"Continental, Beer, Ambience"
Mumbai,Hard Rock Cafe,Restaurant,Restaurant,"American cuisine, Cocktails, Music"
Mumbai,Nehru Planetarium,Sight Seeing,Sight Seeing,"Astronomy, Exhibits, Shows"
Mumbai,Blue Frog,Clubs & Bars,Shopping,"Jazz, Electronic, Music"
Mumbai,Auriga Restaurant,Restaurant,Restaurant,"North Indian cuisine, Fine Dining, Outdoor seating"
Mumbai,Zaveri Bazaar,Shopping,Shopping,"Gold, Diamonds, Wedding shopping"
Mumbai,Marine Drive,Sight Seeing,Sight Seeing,"Sunset views, Sea views, Jogging"
Mumbai,Smaaash,Activity,Entertainment,"Virtual Reality, Arcade games, Food"
Mumbai,Taj Mahal Palace Hotel,Sight Seeing,Sight Seeing,"Heritage, Luxury, Dining"
Mumbai,Phoenix Market City,Shopping,Shopping,"Brands, Entertainment, Food"
Mumbai,Cuffe Parade,Sight Seeing,Sight Seeing,"Sea views, Skyline, Leisure"
Mumbai,Hardly Anonymous,Bars & Clubs,Shopping,"Music, Cocktails, Ambience"
Mumbai,Banganga Tank,Sight Seeing,Sight Seeing,"Tank, Heritage, Festivals"
Mumbai,Sukho Thai,Self Care,Shopping,"Thai Massage, Relaxation, Wellness"
Mumbai,EsselWorld,Activity,Shopping,"Rides, Water Park, Food"
Mumbai,Worli Sea Face,Sight Seeing,Sight Seeing,"Sea views, Sunset views, Jogging"
Mumbai,Trilogy Super Club,Bars & Clubs,Shopping,"Music, Cocktails, Ambience"
Ahmedabad,Law Garden Market,Shopping,Shopping,"Handicrafts, Street shopping, Food"
Ahmedabad,Sabarmati Riverfront,Entertainment,Shopping,"Jogging, Cycling, Boating"
Ahmedabad,Manek Chowk,Food,Restaurant,"Street food, Nightlife, Local culture"
Ahmedabad,Cafe Coffee Day,Cafe,Shopping,"Coffee, Snacks, Outdoor seating"
Ahmedabad,Barbeque Nation,Restaurant,Restaurant,"Buffet, Grill, Indian cuisine"
Ahmedabad,Ristretto-The Tea Shop,Cafe,Shopping,"Tea, Snacks, Outdoor seating"
Ahmedabad,Rajpath Club,Club,Shopping,"Gym, Swimming pool, Banquet facilities"
Ahmedabad,Karnavati Dabeli,Food,Restaurant,"Dabeli, Snacks, Street food"
Ahmedabad,Toran Dining Hall,Restaurant,Restaurant,"Gujarati cuisine, Traditional ambience, Thali"
Ahmedabad,Hathi Singh Jain Temple,Religious Site,Sight Seeing,"Jainism, Architecture, History"
Ahmedabad,Kankaria Lake,Entertainment,Sight Seeing,"Zoo, Rides, Boating"
Ahmedabad,Nini's Kitchen,Restaurant,Restaurant,"Continental cuisine, Fine dining, Ambience"
Ahmedabad,Alpha One Mall,Shopping,Shopping,"Brands, Entertainment, Food"
Ahmedabad,Amdavad ni Gufa,Art Gallery,Sight Seeing,"Modern art, Exhibitions, Cultural centre"
Ahmedabad,Swati Snacks,Food,Restaurant,"Snacks, Chaat, Gujarati cuisine"
Ahmedabad,Upvan Restaurant,Restaurant,Restaurant,"North Indian cuisine, Ambience, Rooftop seating"
Ahmedabad,Iscon Mega Mall,Shopping,Shopping,"Brands, Entertainment, Food"
Ahmedabad,Khamma Ghani,Cafe,Shopping,"Coffee, Snacks, Board games"
Ahmedabad,Club Babylon,Club,Shopping,"Nightlife, Dancing, Live music"
Ahmedabad,The Chocolate Room,Dessert,Shopping,"Desserts, Beverages, Snacks"
Ahmedabad,Siddi Saiyad Mosque,Religious Site,Sight Seeing,"Islamic architecture, History, Carvings"
Ahmedabad,Balvatika,Entertainment,Shopping,"Play area, Rides, Educational exhibits"
Ahmedabad,Bluez Terrace Cafe,Cafe,Shopping,"Coffee, Snacks, Rooftop seating"
Ahmedabad,Courtyard by Marriott,Hotel,Shopping,"Luxury, Business facilities, Restaurants"
Ahmedabad,Gota Dabeli,Food,Restaurant,"Dabeli, Street food, Snacks"
Ahmedabad,Patang Restaurant,Restaurant,Restaurant,"Multi-cuisine, Rooftop seating, Nightlife"
Ahmedabad,Nautanki - The Comedy Theatre,Entertainment,Entertainment,"Stand-up comedy, Drama, Nightlife"
Ahmedabad,Sepal Restro,Restaurant,Restaurant,"Rajasthani cuisine, Buffet, Ambience"
Ahmedabad,Club O7,Club,Shopping,"Swimming pool, Spa, Banquet facilities"
Ahmedabad,Havmor Ice Cream,Dessert,Shopping,"Ice cream, Sundaes, Waffles"
Ahmedabad,The Bar Stock Exchange,Bar,Shopping,"Drinks, Nightlife, Live sports screening"
Delhi,DLF Emporio,Shopping Mall,Shopping,"Luxury, High-end Brands, Fashion"
Delhi,Select Citywalk,Shopping Mall,Shopping,"Lifestyle, Food, Entertainment"
Delhi,Connaught Place,Shopping District,Shopping,"Food, Heritage, Shopping"
Delhi,Kingdom of Dreams,Entertainment,Entertainment,"Culture, Music, Theatre"
Delhi,Indian Mountaineering,Adventure Sports,Entertainment,"Trekking, Climbing, Camping"
Delhi,The Habitat,Co-Working Space,Entertainment,"Creative, Networking, Workspaces"
Delhi,The Project Cafe,Cafe,Shopping,"Cozy, Breakfast, Artistic"
Delhi,Sarvana Bhawan,Restaurant,Restaurant,"South Indian Cuisine, Vegetarian"
Delhi,Farzi Cafe,Restaurant,Restaurant,"Fusion, Modern Indian, Cocktails"
Delhi,Bukhara,Restaurant,Restaurant,"North Indian Cuisine, Fine Dining"
Delhi,Karim's,Restaurant,Restaurant,"Mughlai Cuisine, Non-Vegetarian"
Delhi,Chor Bizarre,Restaurant,Restaurant,"Kashmiri Cuisine, Vintage Decor"
Delhi,Barbeque Nation,Restaurant,Restaurant,"Buffet, Grill, Unlimited Food"
Delhi,Kuremal Mohan Lal Kulfi Wale,Dessert,Shopping,"Kulfi, Falooda, Desserts"
Delhi,Wengers,Bakery,Shopping,"Cakes, Breads, Pastries"
Delhi,Triveni Terrace Cafe,Cafe,Shopping,"Rooftop, Views, Indian Cuisine"
Delhi,Lodi - The Garden Restaurant,Restaurant,Restaurant,"Garden Seating, Mediterranean"
Delhi,The Junkyard Cafe,Bar & Club,Shopping,"Live Music, Rooftop, Cocktails"
Delhi,Social Offline,Bar & Club,Shopping,"Workspaces, Music, Cocktails"
Delhi,Privee,Nightclub,Shopping,"Dance, Music, Parties"
Delhi,FLYP@MTV,Bar & Club,Shopping,"Live Music, Workspaces, Cocktails"
Delhi,Kitty Su,Nightclub,Shopping,"LGBTQ+ Friendly, Music, Parties"
Delhi,Kairali Spa,Self-Care,Self Care,"Ayurveda, Relaxation, Wellness"
Delhi,Tattva Spa,Self-Care,Self Care,"Massages, Spa, Relaxation"
Delhi,O2 Spa,Self-Care,Self Care,"Massages, Spa, Relaxation"
Delhi,IGI Airport,Airport,Sight Seeing,"Shopping, Food, Lounges"
Delhi,Delhi Haat,Shopping District,Shopping,"Handicrafts, Food, Shopping"
Delhi,Pacific Mall,Shopping Mall,Shopping,"Entertainment, Shopping, Food"
Delhi,PVR Cinemas,Entertainment,Entertainment,"Movies, Popcorn, Comfort"
Delhi,Adventure Island,Amusement Park,Entertainment,"Rides, Water Park, Food"
